run_id,scenario,transport,filesize,domain,resolved_ip,path,dns_time_s,dns_retries,http_time_s,total_time_s,bytes,throughput_mbps,retransmissions,status,auth_ok,ok,timestamp
10,A,tcp,1mb,webserver.redes2.local,172.28.0.10,/file_1mb.bin,0.020554686999275873,0,0.1723408890002247,0.1934390070000518,1048576,48.674508113910576,0,HTTP/1.1 200 OK,True,True,1782073006.1525657
1,A,rudp,1mb,webserver.redes2.local,172.28.0.10,/file_1mb.bin,0.02053898600024695,0,6.545883578999565,6.566972706999877,1048576,1.2815088900927363,0,HTTP/1.1 200 OK,True,True,1782073013.098751
2,A,rudp,1mb,webserver.redes2.local,172.28.0.10,/file_1mb.bin,0.02060220000021218,0,6.567727110000305,6.589151363000383,1048576,1.2772467338399525,0,HTTP/1.1 200 OK,True,True,1782073019.9983768
3,A,rudp,1mb,webserver.redes2.local,172.28.0.10,/file_1mb.bin,0.020842743000685005,0,6.549855502000355,6.571176662999278,1048576,1.2807317653707142,0,HTTP/1.1 200 OK,True,True,1782073026.8456917
4,A,rudp,1mb,webserver.redes2.local,172.28.0.10,/file_1mb.bin,0.02069494100032898,0,6.532322395999472,6.553541147000033,1048576,1.2841693185776248,0,HTTP/1.1 200 OK,True,True,1782073033.6606603
5,A,rudp,1mb,webserver.redes2.local,172.28.0.10,/file_1mb.bin,0.02099559100042825,0,6.516392909999922,6.537914020000244,1048576,1.2873085027035456,0,HTTP/1.1 200 OK,True,True,1782073040.4962404
6,A,rudp,1mb,webserver.redes2.local,172.28.0.10,/file_1mb.bin,0.020767214999978023,0,6.536243524000383,6.557520639999893,1048576,1.283398938426626,0,HTTP/1.1 200 OK,True,True,1782073047.3617537
7,A,rudp,1mb,webserver.redes2.local,172.28.0.10,/file_1mb.bin,0.020609006000086083,0,6.561901727000077,6.582960529000047,1048576,1.2783806202832366,0,HTTP/1.1 200 OK,True,True,1782073054.2338135
8,A,rudp,1mb,webserver.redes2.local,172.28.0.10,/file_1mb.bin,0.02047880999998597,0,6.540086558999974,6.561070321999978,1048576,1.2826447974845578,0,HTTP/1.1 200 OK,True,True,1782073061.058899
9,A,rudp,1mb,webserver.redes2.local,172.28.0.10,/file_1mb.bin,0.020882150000034017,0,6.54631329699987,6.567650491000677,1048576,1.2814247683263864,0,HTTP/1.1 200 OK,True,True,1782073067.9143674
